,id,name,parroquia,concellu,province,key,time_signature,ratio_negras_corcheas
220,381,Muiñeira,,Ponte Caldelas,Pontevedra,F major,6/8,0.12345679012345678
221,386,Muiñeira de Chancelas,Chancelas,Combarro,Pontevedra,c minor,4/4,0.1111111111111111
222,387,Ruada de Allariz,,Allariz,Ourense,C major,6/8,0.22077922077922077
223,391,Muiñeira de Redonda,Redonda,Corcubión,A Coruña,C major,6/8,0.2
224,392,Muiñeira de Abellá,Abellá,Frades,A Coruña,C major,6/8,0.11235955056179775
225,393,Muiñeira de Anceis,Anceis,Cambre,A Coruña,C major,6/8,0.2937062937062937
226,397,As Festas de Marnela,Marnela,Valdoviño,A Coruña,C major,6/8,0.6521739130434783
227,399,Muiñeira de Manuel Dopazo,,A Fonsagrada,Lugo,C major,6/8,0.08955223880597014
228,400,Muiñeira,,A Fonsagrada,Lugo,C major,6/8,0.10084033613445378
229,401,Muiñeira de Riomao,Riomao,A Veiga,Ourense,C major,6/8,0.20422535211267606
230,402,Muiñeira de Riomao,Riomao,A Veiga,Ourense,C major,6/8,0.20833333333333334
231,405,Muiñeira de Cangas,,Cangas,Pontevedra,C major,6/8,0.058823529411764705
232,409,Muiñeira do Picato,O Picato,Outeiro de Rei,Lugo,C major,6/8,0.2222222222222222
233,413,Muiñeira de Folgoso,,Folgoso do Courel,Lugo,a minor,6/8,0.5135135135135135
234,414,Muiñeira de Ancadeira,,A Fonsagrada,Lugo,C major,6/8,0.2376237623762376
235,416,Muiñeira do Hío,Hío,Cangas,Pontevedra,C major,6/8,0.17857142857142858
236,418,Muiñeira de Tella,Os Teixois,Taramundi,Asturies,C major,6/8,0.08080808080808081
237,422,Muiñeira de Pontesampaio,,Pontesampaio,Pontevedra,c minor,6/8,0.18064516129032257
238,423,Muiñeira do Saviñao,Estromil,O Saviñao,Lugo,C major,6/8,0.10144927536231885
239,424,Muiñeira das Nogais,,As Nogais,Lugo,C major,6/8,0.4117647058823529
240,427,Carballesa de Melide,,Melide,A Coruña,C major,2/4,0.28205128205128205
241,428,Redonda de Bande,,Bande,Ourense,C major,6/8,0.6086956521739131
242,429,Redonda de Bande,,Bande,Ourense,C major,6/8,0.6222222222222222
243,430,Ribeirana de Poio,,Poio,Pontevedra,C major,2/4,0.038461538461538464
244,431,Ribeirana de Poio,,Poio,Pontevedra,C major,2/4,0.05063291139240506
245,432,Muiñeira de Casamiro,Sambreixo,Parga,Lugo,C major,6/8,0.11188811188811189
246,433,Muiñeira de Casamiro,Sambreixo,Parga,Lugo,C major,6/8,0.07142857142857142
247,434,Carvalhesa,Moimenta de Vinhais,Bragança,Portugal,C major,2/4,0.5897435897435898
248,435,Ribeirana de Ventosela,Ventosela do Gateiro,Ribadavia,Ourense,G major,6/8,0.19863013698630136
249,438,Carballesa do Carballiño,,O Carballiño,Ourense,C major,2/4,0.3181818181818182
250,441,Ribeirana de Villalba,,Villalba,Lugo,C major,6/8,0.4909090909090909
251,442,Ribeirana de Pontevedra,,Pontevedra,Pontevedra,C major,6/8,0.06172839506172839
252,443,Ribeirana de Pontevedra,,Pontevedra,Pontevedra,C major,6/8,0.08163265306122448
253,444,Ribeirana de Pontevedra,,Pontevedra,Pontevedra,C major,6/8,0.0625
254,445,Ribeirana de Redondela,,Redondela,Pontevedra,C major,6/8,0.24193548387096775
255,446,Ribeirana de Pontevedra,,Pontevedra,Pontevedra,C major,6/8,0.3888888888888889
256,449,Carballesa do Incio,,O Incio,Lugo,C major,2/4,0.12698412698412698
257,450,Muiñeira de Vilarmide,Vilarmide,A Pontenova,Lugo,C major,6/8,0.09202453987730061
258,452,Danza Anterga de Lugo,,Lugo,Lugo,C major,2/4,0.18181818181818182
259,453,Carballesa do Incio,,O Incio,Lugo,C major,2/4,0.14285714285714285
